馬名,福穎
ID,A001
圖片,www.hkjc.com/images/horse/A001_s.jpg
出生地,澳洲
馬齡,4
練馬師,文家良
毛色,棗
性別,閹
馬主,鄭寳君
進口類別,自購馬
現時評分,069
季初評分,72
今季獎金,$0
總獎金,$0
冠-亞-季-總出賽次數*,0-0-0-3
最近十個賽馬日出賽場數,0
烙號,場次,名次,日期,馬場/跑道/賽道,途程,場地狀況,賽事班次,檔位,評分,練馬師,騎師,頭馬距離,獨贏賠率,實際負磅,沿途走位,完成時間,排位體重,配備,賽事重播
A001,380,06,30/01/17,田草地"B",1200,好,3,1,071,文家良,巫斯義,'4-1/4',47,124,5  3  6,1.10.25,1054,--,
A001,313,11,04/01/17,谷草地"A",1200,好,3,6,072,文家良,楊明綸,'6-1/2',30,124,4  3  11,1.11.86,1073,--,
A001,250,11,11/12/16,田草地"A",1200,好,3,13,072,文家良,巫斯義,'4',49,125,9  7  11,1.10.04,1083,--,
