A BEAUTIFUL,喜得福,T421,063,-2,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T421&Option=1#htop
A FAST ONE,快趣的,S424,042,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S424&Option=1#htop
A STAR LUSTER,歡樂農,A259,052,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A259&Option=1#htop
ABLE DEED,步步德,V136,061,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V136&Option=1#htop
ABLE FRIEND,步步友,P303,127,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=P303&Option=1#htop
ABLE TALENT,喜寶天龍,S446,014,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S446&Option=1#htop
ACCESSION YEARS,輕彈錢暢,A219,052,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A219&Option=1#htop
ACCLAIMED LIGHT,明月光,T369,061,-1,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T369&Option=1#htop
ACE KING,祥勝駿駒,T331,069,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T331&Option=1#htop
ACTUARIAT,好準確,V215,041,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V215&Option=1#htop
ADMIRABLE,誰不羨,V314,052,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V314&Option=1#htop
ADVENTURER,歷險家,V066,091,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V066&Option=1#htop
AEROLUMINANCE,友瑩采,V213,038,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V213&Option=1#htop
AEROSPEED,友瑩勢,T351,067,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T351&Option=1#htop
AEROVELOCITY,友瑩格,P069,128,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=P069&Option=1#htop
AGIAAL,強中堅,N177,037,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=N177&Option=1#htop
AGILITY HERO,光明大地,T414,073,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T414&Option=1#htop
