烙號,場次,名次,日期,馬場/跑道/賽道,途程,場地狀況,賽事班次,檔位,評分,練馬師,騎師,頭馬距離,獨贏賠率,實際負磅,沿途走位,完成時間,排位體重,配備,賽事重播
S143,464,06,05/03/17,田草地"C",1000,好/快,1,3,128,告東尼,郭能,5,10,133,2  3  6,0.56.45,1146,TT/CP,
S143,374,01,30/01/17,田草地"B",1200,好,G2,8,127,告東尼,郭能,3/4,9,121,1  1  1,1.09.15,1130,TT/CP,
S143,318,03,08/01/17,田草地"C",1000,好/快,G3,6,127,告東尼,蘇兆輝,3-1/4,5.5,133,3  3  3,0.56.46,1143,TT/CP,
S143,254,03,11/12/16,田草地"A",1200,好,G1,1,127,告東尼,蘇兆輝,3/4,11,126,1  1  3,1.08.92,1149,TT/CP,
S143,201,07,20/11/16,田草地"B+2",1200,好,G2,4,128,告東尼,蘇兆輝,2-1/2,12,128,1  1  7,1.08.68,1148,TT/CP,
S143,127,07,23/10/16,田草地"A",1200,好,G2,5,128,告東尼,何澤堯,2-3/4,16,133,1  2  7,1.08.72,1152,TT/CP,
S143,072,03,01/10/16,田草地"A+3",1000,好,G3,6,128,告東尼,蔡明紹,1,3.5,133,2  2  3,0.56.35,1158,TT/CP,
S143,660,01,22/05/16,田草地"A",1200,好,HKG3,2,125,告東尼,蔡明紹,1-1/4,5.7,130,2  1  1,1.08.35,1138,TT/CP,
S143,607,13,01/05/16,田草地"B",1200,好,G1,8,125,告東尼,蔡明紹,7-1/4,20,126,2  1  13,1.09.84,1138,TT/CP,
S143,海外,03,26/03/16,美丹/草地,1000,好,G1,5,125,告東尼,莫雷拉,1,3.1,126,--,--,--,CP/TT,--
S143,363,03,31/01/16,田草地"A+3",1200,好,HKG1,3,125,告東尼,莫雷拉,1-3/4,2.6,126,3  2  3,1.08.64,1153,TT/CP,
S143,248,01,13/12/15,田草地"A",1200,好,G1,14,123,告東尼,莫雷拉,1/2,4.4,126,1  1  1,1.08.74,1150,TT/CP,
S143,195,02,21/11/15,田草地"B+2",1200,好,G2,11,123,告東尼,莫雷拉,1-1/4,4.1,128,1  1  2,1.08.49,1151,TT/CP,
S143,138,03,25/10/15,田草地"A",1200,好/快,HKG2,6,123,告東尼,莫雷拉,1-1/2,5.8,122,3  2  3,1.08.60,1148,TT/CP,
S143,071,07,01/10/15,田草地"A+3",1000,好,HKG3,3,123,告東尼,莫雷拉,3-1/2,5.2,133,6  5  7,0.56.48,1151,TT/CP,
S143,567,04,26/04/15,田草地"A",1200,好/快,HKG2,9,123,告東尼,韋達,3,4.6,128,1  2  4,1.08.87,1122,TT/CP,
S143,海外,02,28/03/15,美丹/草地,1000,好,G1,16,123,告東尼,韋達,1/2,1.9,126,--,--,--,CP/TT,--
S143,397,04,15/02/15,田草地"A",1200,好,HKG1,3,123,告東尼,韋達,3/4,2.8,126,6  6  4,1.08.93,1118,TT/CP,
S143,343,01,25/01/15,田草地"B+2",1000,好/快,HKG1,1,123,告東尼,韋達,短馬頭位,1.8,126,3  3  1,0.55.49,1117,TT/CP,
S143,237,02,14/12/14,田草地"A",1200,好/快,G1,6,119,告東尼,韋達,頸位,2.8,126,5  3  2,1.08.63,1132,TT/CP,
S143,182,01,23/11/14,田草地"B+2",1200,好/快,G2,14,111,告東尼,韋達,1/2,7.5,123,7  6  1,1.08.08,1118,TT/CP,
S143,102,01,19/10/14,谷草地"A",1200,好/快,2,11,104,告東尼,吳嘉晉,1-1/4,6,128,2  2  1,1.09.55,1117,TT/CP,
S143,053,02,01/10/14,田草地"C+3",1000,好/快,HKG3,2,104,告東尼,蔡明紹,2,7.2,114,6  4  2,0.55.70,1112,TT/CP,
S143,003,03,14/09/14,田草地"A",1200,好/快,1,2,103,告東尼,蔡明紹,1,6.2,113,1  1  3,1.08.55,1110,TT/CP,
S143,728,01,22/06/14,田草地"C+3",1000,好,1,7,096,告東尼,蔡明紹,頸位,2.7,114,1  1  1,0.55.67,1098,TT/CP,
S143,637,02,17/05/14,田草地"C+3",1000,好,2,6,095,告東尼,郭能,1-1/2,4.2,124,4  3  2,0.56.06,1085,TT/CP,
S143,570,01,21/04/14,田草地"C+3",1000,好,3,4,088,告東尼,韋達,頸位,3.6,133,5  6  1,0.56.62,1085,TT/CP,
S143,524,01,02/04/14,谷草地"A",1000,好/黏,3,9,082,告東尼,吳嘉晉,頸位,9.7,127,7  8  1,0.56.93,1089,TT/CP1,
S143,367,06,02/02/14,田草地"C",1000,好,3,11,082,告東尼,蔡明紹,5-1/2,5.2,130,4  2  6,0.56.48,1084,TT,
S143,329,03,15/01/14,谷草地"C",1000,好,3,11,082,告東尼,蔡明紹,2-1/4,15,133,6  4  3,0.57.20,1079,TT1,
